goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,2,0.44204211235046387,90,AMR,Wolverhampton Wanderers,Brentford,1,1,2025-05-25,26978,2024,730086,0.10468907654285431,0,2,1,0.44204211235046387,0.5650979280471802,0.12305579334497452
1,3,0.9076035022735596,90,AMR,Brentford,Fulham,2,3,2025-05-18,26964,2024,728502,0.06860645115375519,0,1,1,0.14643466472625732,0.5469376444816589,0.3318965435028076
0,4,0.18156208097934723,90,AMR,Ipswich,Brentford,0,1,2025-05-10,26954,2024,725763,0.32451900839805603,1,1,0,0.18156208097934723,0.18156208097934723,0
0,2,0.10683729499578476,90,AMR,Brentford,Manchester United,4,3,2025-05-04,26947,2024,724636,0.06263235211372375,0,1,0,0.10683729499578476,1.2300819158554077,1.1232446432113647
0,3,0.1984408050775528,90,AMR,Nottingham Forest,Brentford,0,2,2025-05-01,26939,2024,723600,0.1152239739894867,0,2,0,0.1984408050775528,0.2447809875011444,0
2,4,0.47489818930625916,90,AMR,Brentford,Brighton,4,2,2025-04-19,26923,2024,720460,1.0608595609664917,1,7,2,0.47489818930625916,0.6937788724899292,0.01561658550053835
0,0,0,90,MR,Arsenal,Brentford,1,1,2025-04-12,26913,2024,718799,0.0598486103117466,0,1,0,0,0.0598486103117466,0
0,2,0.18488211929798126,90,AMR,Brentford,Chelsea,0,0,2025-04-06,26903,2024,717455,0.4043346643447876,0,2,0,0.18488211929798126,0.5304263830184937,0
1,3,0.8352001905441284,90,AMR,Newcastle United,Brentford,2,1,2025-04-02,26899,2024,716164,0.05801301822066307,0,1,0,0.07403136789798737,0.13204438984394073,0
0,3,0.11981547623872757,90,AMR,Bournemouth,Brentford,1,2,2025-03-15,26882,2024,713309,0.3543241322040558,1,2,0,0.11981547623872757,0.09516504406929016,0.01866273768246174
0,1,0.053791191428899765,90,AMR,Brentford,Aston Villa,0,1,2025-03-08,26872,2024,711548,0,0,0,0,0.053791191428899765,0.08356477320194244,0.08356477320194244
0,2,0.5184984803199768,90,AMR,Brentford,Everton,1,1,2025-02-26,26862,2024,709124,0,0,0,0,0.5184984803199768,1.305996298789978,0.7874978184700012
1,4,0.42135438323020935,90,AMR,Leicester,Brentford,0,4,2025-02-21,26858,2024,707506,0.6619124412536621,1,2,1,0.42135438323020935,0.5676208138465881,0.16699106991291046
0,3,0.3754059374332428,90,AMR,West Ham,Brentford,0,1,2025-02-15,26851,2024,706297,0.47124218940734863,0,3,0,0.3754059374332428,0.8224836587905884,0.128276526927948
0,4,0.22426028549671173,90,AMR,Brentford,Tottenham,0,2,2025-02-02,26834,2024,703923,0.13192185759544373,0,1,0,0.22426028549671173,0.4812707304954529,0.2085462361574173
1,4,1.5242640972137451,90,AMR,Crystal Palace,Brentford,1,2,2025-01-26,26825,2024,701946,0.022794755175709724,0,1,0,0.7630952000617981,0.8749774098396301,0.14147263765335083
0,4,0.2323043793439865,90,AMR,Brentford,Liverpool,0,2,2025-01-18,26813,2024,699998,0.09096439182758331,0,1,0,0.2323043793439865,0.8970805406570435,0.6647761464118958
0,3,0.4491269290447235,90,FWR,Brentford,Manchester City,2,2,2025-01-14,26803,2024,699001,0.8953987956047058,0,5,0,0.4491269290447235,1.444925308227539,0.10039950907230377
2,4,1.3532696962356567,90,FWR,Southampton,Brentford,0,5,2025-01-04,26799,2024,697211,1.1279442310333252,1,5,1,0.5921008586883545,2.7350189685821533,1.099448800086975
1,2,0.133721724152565,90,FW,Brentford,Arsenal,1,3,2025-01-01,26783,2024,697020,0.053389742970466614,0,1,1,0.133721724152565,0.133721724152565,0
0,1,0.030085433274507523,90,AMR,Brighton,Brentford,0,0,2024-12-27,26774,2024,696389,0.14522448182106018,0,1,0,0.030085433274507523,0.2949810028076172,0.11967106908559799
0,1,0.041791100054979324,90,FWR,Brentford,Nottingham Forest,0,2,2024-12-21,26766,2024,695267,0.4798584580421448,0,3,0,0.041791100054979324,0.4661400318145752,0.09337244182825089
1,2,0.5848148465156555,90,FW,Chelsea,Brentford,2,1,2024-12-15,26757,2024,694610,0.04419904202222824,0,1,1,0.5848148465156555,1.2102336883544922,0.6254187822341919
1,3,0.3613778352737427,90,DMR,Brentford,Newcastle United,4,2,2024-12-07,26743,2024,692221,0.6675881147384644,1,3,1,0.3613778352737427,1.028965950012207,0
0,0,0,90,FWR,Aston Villa,Brentford,3,1,2024-12-04,26734,2024,691562,0.1557409167289734,0,2,0,0,0.1557409167289734,0
0,0,0,90,AMR,Brentford,Leicester,4,1,2024-11-30,26722,2024,690057,0.0523771196603775,0,1,0,0,1.020129919052124,0.9677528738975525
0,0,0,90,FWR,Everton,Brentford,0,0,2024-11-23,26715,2024,688474,0.09437369555234909,0,2,0,0,0.13037768006324768,0.03600397706031799
0,1,0.06392202526330948,90,FWR,Brentford,Bournemouth,3,2,2024-11-09,26702,2024,686579,0.21526466310024261,1,1,0,0.06392202526330948,0.3773718774318695,0.3134498596191406
0,0,0,89,AMR,Fulham,Brentford,2,1,2024-11-04,26693,2024,686128,0,0,0,0,0,0.01951346918940544,0.01951346918940544
2,4,0.9057899713516235,90,AMR,Brentford,Ipswich,4,3,2024-10-26,26685,2024,682998,0.1390465795993805,0,1,1,0.1446211040019989,0.9360983371734619,0.6524306535720825
0,1,0.03348812088370323,90,AMC,Manchester United,Brentford,2,1,2024-10-19,26675,2024,681311,0.06639058142900467,0,2,0,0.03348812088370323,0.0998786985874176,0.022386742755770683
1,2,0.8320542573928833,90,AMR,Brentford,Wolverhampton Wanderers,5,3,2024-10-05,26667,2024,679552,0.45290321111679077,0,3,0,0.07088541239500046,1.2447028160095215,0.892180323600769
1,4,0.22904819250106812,90,FW,Brentford,West Ham,1,1,2024-09-28,26656,2024,677872,0.013267315924167633,0,1,1,0.22904819250106812,0.18755683302879333,0.09185273200273514
1,3,0.7715756297111511,90,FW,Tottenham,Brentford,3,1,2024-09-21,26648,2024,675801,0,0,0,1,0.7715756297111511,0.8467352986335754,0.07515963166952133
0,1,0.1212284117937088,90,FW,Manchester City,Brentford,2,1,2024-09-14,26637,2024,673697,0.2927728295326233,0,3,0,0.1212284117937088,0.17691980302333832,0.013665834441781044
2,4,0.8111304640769958,90,FWR,Brentford,Southampton,3,1,2024-08-31,26623,2024,671729,0.7694047093391418,0,3,2,0.8111304640769958,2.016061782836914,0.4355265200138092
0,1,0.0345180444419384,90,FW,Liverpool,Brentford,2,0,2024-08-25,26621,2024,668972,0.24957649409770966,0,1,0,0.0345180444419384,0.0345180444419384,0
1,1,0.07405825704336166,90,FWR,Brentford,Crystal Palace,2,1,2024-08-18,26609,2024,666801,0.46988123655319214,0,3,1,0.07405825704336166,0.5048030614852905,0
